1.87,-0.00
1.88,-0.38
1.89,-0.07
1.90,0.31
1.91,0.00
1.92,0.38
1.93,0.07
1.94,0.06
1.95,0.07
1.96,0.07
1.97,-0.31
1.98,0.00
1.99,-0.37
2.00,-0.06
2.01,0.70
2.02,0.83
2.03,0.58
2.04,-0.49
2.05,-0.62
2.06,-0.37
2.07,-0.43
2.08,-0.49
2.09,-0.18
2.10,-0.17
2.11,0.20
2.12,0.65
2.13,0.40
2.14,-0.29
2.15,0.02
2.16,0.40
2.17,0.46
2.18,0.53
2.19,0.21
2.20,0.21
2.21,0.21
2.22,-0.16
2.23,-0.23
2.24,-0.29
2.25,0.03
2.26,-0.35
2.27,-0.41
2.28,-0.10
2.29,0.28
2.30,-0.03
2.31,-0.03
2.32,-0.40
2.33,0.29
2.34,0.35
2.35,0.42
2.36,0.10
2.37,0.10
2.38,0.10
2.39,-0.27
2.40,0.04
2.41,0.04
2.42,-0.33
2.43,-0.02
2.44,-0.02
2.45,-0.39
2.46,-0.46
2.47,0.23
2.48,-0.08
2.49,-0.08
2.50,0.30
2.51,0.37
2.52,0.05
2.53,-0.32
2.54,-0.39
2.55,-0.83
2.56,0.18
2.57,0.62
2.58,0.75
2.59,0.50
2.60,0.19
2.61,-0.57
2.62,-0.32
2.63,0.37
2.64,-0.69
2.65,-0.82
2.66,-0.57
2.67,-0.25
2.68,-0.25
2.69,-0.25
2.70,0.51
2.71,0.64
2.72,0.01
2.73,0.38
2.74,0.45
2.75,0.14
2.76,0.14
2.77,0.14
2.78,0.14
2.79,-0.24
2.80,-0.30
2.81,-0.36
2.82,-0.43
2.83,-0.49
2.84,0.20
2.85,0.27
2.86,-0.04
2.87,0.33
2.88,0.02
2.89,-0.36
2.90,-0.04
2.91,0.34
2.92,0.02
2.93,0.40
2.94,0.09
2.95,0.09
2.96,-0.29
2.97,0.03
2.98,0.03
2.99,0.03
3.00,-0.35
3.01,-0.03
3.02,-0.41
3.03,-0.10
3.04,-0.09
3.05,0.28
3.06,-0.03
3.07,-0.03
3.08,0.35
3.09,0.04
3.10,-0.34
3.11,-0.40
3.12,-0.09
3.13,-0.09
3.14,-0.08
3.15,-0.08
3.16,0.29
3.17,0.74
3.18,0.11
3.19,0.11
3.20,0.49
3.21,0.17
3.22,0.17
3.23,-0.20
3.24,-0.27
3.25,0.05
3.26,-0.33
3.27,-0.01
3.28,-0.01
3.29,-0.01
3.30,-0.01
3.31,-0.01
3.32,-0.38
3.33,-0.45
3.34,-0.13
3.35,0.25
3.36,0.31
3.37,0.37
3.38,0.06
3.39,0.06
3.40,0.44
3.41,0.50
3.42,-0.19
3.43,-0.63
3.44,-0.00
3.45,0.00
3.46,0.00
3.47,0.00
3.48,0.00
3.49,0.01
3.50,0.01
3.51,0.01
3.52,0.38
3.53,0.07
3.54,0.07
3.55,-0.30
3.56,0.01
3.57,0.01
3.58,-0.36
3.59,-0.05
3.60,-0.43
3.61,-0.49
3.62,-0.18
3.63,0.20
3.64,-0.11
3.65,0.27
3.66,-0.04
3.67,0.33
3.68,0.40
3.69,-0.29
3.70,0.02
3.71,0.40
3.72,0.09
3.73,-0.29
3.74,-0.35
3.75,-0.42
3.76,0.28
3.77,0.34
3.78,0.41
3.79,0.09
3.80,0.09
3.81,0.09
3.82,0.09
3.83,-0.28
3.84,0.41
3.85,-0.28
3.86,-0.72
3.87,-0.09
3.88,-0.09
3.89,0.29
3.90,0.35
3.91,-0.34
3.92,0.35
3.93,0.04
3.94,0.04
3.95,0.04
3.96,-0.34
3.97,-0.40
3.98,-0.46
3.99,0.23
4.00,-0.08
4.01,-0.08
4.02,0.30
4.03,0.36
4.04,0.43
4.05,-0.26
4.06,0.42
4.07,0.11
4.08,0.11
4.09,0.11
4.10,0.11
4.11,-0.26
4.12,-0.70
4.13,-0.45
4.14,0.24
4.15,-0.07
4.16,-0.07
4.17,0.31
4.18,0.37
4.19,0.06
4.20,0.06
4.21,-0.32
4.22,0.37
4.23,0.06
4.24,0.06
4.25,0.06
4.26,0.06
4.27,-0.31
4.28,-0.38
4.29,-0.06
4.30,-0.06
4.31,-0.06
4.32,-0.44
4.33,-0.50
4.34,0.19
4.35,0.26
4.36,0.32
4.37,0.39
4.38,0.45
4.39,-0.24
4.40,0.07
4.41,0.07
4.42,-0.68
4.43,-1.56
4.44,-1.44
